Player,Team,Position,GamesPlayed,Points,Goals,Assists,Pts_Per_Game,Shooting_Pct,PlusMinus,PIM,GWG,PPG,SHG,Goal_Contribution_Pct,Assists_Per_Game,Shots_Per_Game,Last_Update
Connor McDavid,EDM,C,41,70,24,46,1.71,16.6,1,16,1,7,1,34.3,1.12,3.54,2026-01-02 19:28:36
Nathan MacKinnon,COL,C,39,70,34,36,1.79,18.9,51,14,5,7,0,48.6,0.92,4.62,2026-01-02 19:28:36
Macklin Celebrini,SJS,C,40,62,22,40,1.55,17.5,13,28,4,4,0,35.5,1.0,3.15,2026-01-02 19:28:36
Leon Draisaitl,EDM,C,41,57,20,37,1.39,17.2,6,20,2,11,1,35.1,0.9,2.83,2026-01-02 19:28:36
Mikko Rantanen,DAL,R,40,56,16,40,1.4,16.2,3,71,1,4,0,28.6,1.0,2.48,2026-01-02 19:28:36
Nikita Kucherov,TBL,R,36,54,19,35,1.5,17.3,16,18,4,4,0,35.2,0.97,3.06,2026-01-02 19:28:36
Martin Necas,COL,C,39,51,19,32,1.31,20.7,40,22,0,3,0,37.3,0.82,2.36,2026-01-02 19:28:36
Mark Scheifele,WPG,C,39,48,20,28,1.23,23.0,7,22,2,5,0,41.7,0.72,2.23,2026-01-02 19:28:36
Jason Robertson,DAL,L,41,48,24,24,1.17,15.1,15,10,3,9,0,50.0,0.59,3.88,2026-01-02 19:28:36
Kirill Kaprizov,MIN,L,41,47,23,24,1.15,16.2,5,14,2,8,0,48.9,0.59,3.46,2026-01-02 19:28:36
Matt Boldy,MIN,L,41,47,25,22,1.15,18.5,16,20,3,6,2,53.2,0.54,3.29,2026-01-02 19:28:36
Kyle Connor,WPG,L,39,46,18,28,1.18,13.1,5,8,1,2,2,39.1,0.72,3.51,2026-01-02 19:28:36
Wyatt Johnston,DAL,C,41,46,20,26,1.12,20.0,-1,10,3,14,0,43.5,0.63,2.44,2026-01-02 19:28:36
Nick Suzuki,MTL,C,40,45,14,31,1.12,16.3,16,8,1,8,0,31.1,0.78,2.15,2026-01-02 19:28:36
Brad Marchand,FLA,L,38,45,23,22,1.18,21.9,-6,32,2,5,0,51.1,0.58,2.76,2026-01-02 19:28:36
Cale Makar,COL,D,39,45,12,33,1.15,10.6,34,18,3,2,0,26.7,0.85,2.9,2026-01-02 19:28:36
Lucas Raymond,DET,L,40,44,11,33,1.1,12.5,3,10,3,4,0,25.0,0.82,2.2,2026-01-02 19:28:36
